,note length,pitch
0,0.4,0.0
1,0.0,-4.0
2,0.4,3.8
3,1.4,-4.0
4,-2.0,3.8
5,0.0,-4.0
6,-0.4,0.0
7,0.0,3.8
8,-1.0,-4.0
9,0.4,0.0
10,0.0,0.0
11,0.0,-5.0
12,0.4,4.8
13,0.2,2.8
14,-0.2,0.0
15,-0.6,-3.0
16,2.0,6.8
17,-3.2,-1.0
18,0.0,-1.0
19,0.0,-2.0
20,1.8,-3.0
21,0.0,3.8
22,0.0,-4.0
23,-1.0,-1.0
24,0.0,0.8
25,0.0,3.8
26,0.0,2.8
27,0.0,1.8
28,0.0,1.8
29,0.0,0.8
30,0.0,-3.0
31,0.0,-4.0
32,0.0,-1.0
33,0.0,-2.0
34,0.0,4.8
35,0.0,-3.0
36,0.0,0.8
37,0.0,-5.0
38,0.0,-3.0
39,0.0,-2.0
40,0.8,7.8
41,-1.0,-4.0
42,0.0,-4.0
43,0.0,6.8
44,0.0,-3.0
45,0.0,-4.0
46,0.0,-3.0
47,0.0,4.8
48,0.0,0.0
49,-1.0,-2.0
50,1.8,-7.0
51,-0.6,11.8
52,-1.6,3.8
53,1.4,2.8
54,-1.6,0.0
55,0.8,0.0
56,0.0,-3.0
57,1.4,-4.0
58,-1.0,8.8
59,-0.4,-4.0
60,0.0,0.0
61,-1.0,-3.0
62,1.4,-3.0
63,-1.0,-4.0
64,-1.0,2.8
65,0.8,2.8
66,0.4,2.8
67,-0.6,4.8
68,-1.0,-5.0
69,0.8,2.8
70,0.0,0.8
71,0.0,-4.0
72,-1.0,0.0
73,0.8,-3.0
74,0.0,-1.0
75,-1.0,-2.0
76,1.8,-1.0
77,-1.0,2.8
78,0.0,2.8
79,0.0,3.8
80,0.0,-4.0
81,0.8,1.8
82,-1.0,-2.0
83,0.4,-3.0
84,-0.6,-5.0
85,0.2,-1.0
86,-1.0,0.0
87,0.8,0.8
88,-1.4,1.8
89,1.4,-3.0
90,-0.6,0.8
91,0.0,-3.0
92,0.8,5.8
93,0.0,13.8
94,-0.4,-2.0
95,-0.4,1.8
96,0.0,-3.0
97,0.4,-2.0
98,0.4,1.8
99,-0.6,-13.0
100,-0.6,13.8
101,0.6,-2.0
102,-2.4,1.8
103,2.4,-3.0
104,-1.0,-2.0
105,0.4,1.8
106,-2.0,-5.0
107,0.8,4.8
108,-1.0,0.0
109,0.0,4.8
110,0.8,1.8
111,0.0,-2.0
112,0.0,-3.0
113,0.6,-2.0
114,-0.8,-5.0
115,0.4,-2.0
116,0.6,-3.0
117,-0.8,-2.0
118,0.0,-5.0
119,-0.6,0.0
120,0.0,-4.0
121,0.0,10.8
122,-1.0,-2.0
123,1.4,-5.0
124,-0.6,2.8
125,0.0,-1.0
126,-1.0,10.8
127,0.8,-2.0
128,0.0,-5.0
129,0.8,3.8
130,-1.0,-3.0
131,0.8,14.8
132,-0.6,0.0
133,0.0,0.0
134,-0.6,0.0
135,0.4,0.0
136,0.0,0.0
137,-0.6,-1.0
138,0.2,2.8
139,0.0,-3.0
140,0.0,-2.0
141,-0.4,0.0
142,0.0,-2.0
143,2.0,4.8
144,-1.6,0.0
145,0.0,-1.0
146,0.0,0.0
147,0.0,-6.0
148,0.0,3.8
149,-0.6,-2.0
150,-0.6,0.0
151,0.4,-3.0
152,-0.6,2.8
153,-1.0,-3.0
154,0.8,0.8
155,0.0,1.8
156,0.8,-3.0
157,-1.0,-7.0
158,0.0,-2.0
159,0.0,6.8
160,0.0,-4.0
161,-0.2,-2.0
162,-1.2,0.8
163,0.0,6.8
164,0.0,2.8
165,0.0,0.0
166,1.2,-2.0
167,0.8,-5.0
168,-1.0,0.0
169,0.0,5.8
170,0.0,0.8
171,0.0,1.8
172,0.0,-3.0
173,0.0,0.8
174,0.0,-3.0
175,0.0,0.8
176,0.4,0.0
177,-0.6,-1.0
178,0.4,4.8
179,0.4,2.8
180,-0.6,-3.0
181,0.0,4.8
182,0.6,-2.0
183,-0.8,-4.0
184,-0.6,7.8
185,0.0,-2.0
186,0.0,-2.0
187,0.0,-4.0
188,0.0,-1.0
189,0.0,-2.0
190,0.0,-1.0
191,0.0,4.8
192,0.0,2.8
193,-1.0,-3.0
194,2.2,4.8
195,-1.0,-2.0
196,-1.0,-5.0
197,2.0,-1.0
198,-1.0,5.8
199,-0.4,1.8
200,0.0,-2.0
201,0.0,-6.0
202,0.4,-1.0
203,-1.0,10.8
204,0.0,-2.0
205,0.0,-2.0
206,0.0,-3.0
207,0.0,1.8
208,0.0,-2.0
209,0.0,-2.0
210,0.0,-2.0
211,0.0,-1.0
212,0.0,-2.0
213,0.0,-2.0
214,0.2,-5.0
215,0.0,3.8
216,-0.6,0.8
217,0.0,0.0
218,0.0,4.8
219,1.2,3.8
220,-0.4,0.8
221,-1.0,-1.0
222,0.0,-3.0
223,0.4,0.8
224,-1.0,-3.0
225,0.4,0.8
226,0.0,-2.0
227,0.0,0.8
228,-1.0,0.0
229,0.0,-4.0
230,1.4,1.8
231,-0.2,-3.0
232,-0.4,0.8
233,-1.0,-3.0
234,0.8,0.8
235,0.0,-4.0
236,0.0,2.8
237,0.0,-4.0
238,0.0,1.8
239,0.4,-3.0
240,-0.6,0.8
241,0.0,-2.0
242,-2.0,0.8
243,1.8,0.0
244,-0.2,0.0
245,0.0,-1.0
246,0.0,11.8
247,-1.4,4.8
248,0.0,0.8
249,0.8,2.8
250,0.8,1.8
251,1.0,0.8
252,-1.6,0.0
253,0.0,-4.0
254,0.4,0.8
255,-1.6,-3.0
256,0.8,0.8
257,0.0,-3.0
258,0.4,1.8
259,-1.0,-3.0
260,0.0,0.8
261,0.0,1.8
262,1.2,-3.0
263,-1.8,0.0
264,0.0,-2.0
265,1.4,0.8
266,-0.6,-3.0
267,0.0,1.8
268,0.2,-3.0
269,0.0,0.8
270,-1.6,-5.0
271,0.8,2.8
272,0.0,-3.0
273,0.0,1.8
274,0.0,-4.0
275,0.0,1.8
276,0.0,-4.0
277,-1.0,6.8
