,note length,pitch
0,2.4,1.0
1,-3.0,-2.0
2,0.0,-3.0
3,0.0,-4.0
4,-0.6,-3.0
5,0.0,-2.0
6,1.2,8.0
7,-0.8,-1.0
8,0.8,1.0
9,-1.0,-1.0
10,0.0,-2.0
11,0.4,-3.0
12,-1.0,-2.0
13,2.0,5.0
14,0.0,-5.0
15,1.4,17.0
16,-2.8,-3.0
17,-1.0,3.0
18,-0.6,-3.0
19,0.0,3.0
20,0.8,-3.0
21,0.0,-2.0
22,0.0,2.0
23,-1.0,-2.0
24,0.0,2.0
25,0.8,-2.0
26,-0.6,-2.0
27,0.0,2.0
28,0.0,-2.0
29,-0.6,2.0
30,0.8,-2.0
31,0.2,-3.0
32,-1.0,3.0
33,2.4,-1.0
34,-2.0,-4.0
35,0.0,2.0
36,0.0,2.0
37,0.0,3.0
38,0.0,-3.0
39,0.0,5.0
40,-1.0,-2.0
41,1.4,-3.0
42,-1.6,-4.0
43,1.4,-3.0
44,-0.6,-2.0
45,0.0,8.0
46,-1.0,1.0
47,0.8,1.0
48,-0.6,-10.0
49,0.0,2.0
50,0.4,5.0
51,0.0,3.0
52,0.4,4.0
53,-1.0,3.0
54,3.0,4.0
55,-2.6,-2.0
56,0.8,-2.0
57,0.8,-3.0
58,-2.0,-12.0
59,0.0,3.0
60,0.0,4.0
61,1.4,5.0
62,-1.6,-12.0
63,0.4,2.0
64,-1.0,3.0
65,0.4,5.0
66,0.0,4.0
67,0.8,3.0
68,0.0,0.0
69,0.8,0.0
70,-2.0,-3.0
71,0.4,2.0
72,0.4,1.0
73,-0.6,-5.0
74,0.2,1.0
75,0.8,-1.0
76,-1.6,-2.0
77,0.0,2.0
78,0.0,1.0
79,1.4,0.0
80,-0.6,-1.0
81,-2.0,-7.0
82,0.0,1.0
83,0.0,1.0
84,2.2,3.0
85,-0.4,0.0
86,-1.0,3.0
87,-1.0,-1.0
88,0.0,-2.0
89,1.4,-4.0
90,-1.6,1.0
91,1.8,3.0
92,0.0,0.0
93,-1.6,3.0
94,0.0,-1.0
95,0.0,-2.0
96,0.4,-4.0
97,0.0,1.0
98,0.8,3.0
99,-0.6,0.0
100,-0.4,3.0
101,-1.0,-1.0
102,0.0,-2.0
103,0.4,-4.0
104,0.0,1.0
105,0.0,8.0
106,0.0,-1.0
107,0.0,1.0
108,0.0,-1.0
109,0.0,-1.0
110,-1.0,-3.0
111,1.2,-3.0
112,-1.0,-2.0
113,0.0,2.0
114,2.4,5.0
115,-2.0,-16.0
116,0.0,4.0
117,0.0,3.0
118,0.0,5.0
119,0.0,4.0
120,-1.0,3.0
121,3.6,5.0
122,-1.8,-1.0
123,0.0,-11.0
124,-1.0,-1.0
125,0.0,-12.0
126,0.0,1.0
127,0.0,-1.0
128,0.0,10.0
129,1.4,1.0
130,0.8,-1.0
131,-1.6,-2.0
132,-1.0,2.0
133,1.4,1.0
134,-0.6,-3.0
135,-2.0,2.0
136,1.4,1.0
137,0.4,-3.0
138,0.0,7.0
139,0.0,-2.0
140,0.0,-2.0
141,0.4,-3.0
142,-0.6,3.0
143,-0.4,-3.0
144,0.4,3.0
145,-1.0,-3.0
146,0.8,7.0
147,0.4,-2.0
148,-1.2,-2.0
149,-1.0,-3.0
150,0.4,-3.0
151,0.0,-2.0
152,0.8,5.0
153,0.0,0.0
154,-0.6,-3.0
155,0.8,-2.0
156,0.0,5.0
157,-1.6,-3.0
158,0.0,3.0
159,0.0,4.0
160,0.6,3.0
161,0.0,0.0
