,note length,pitch
0,0.0,2.0
1,0.8,2.0
2,-1.0,0.0
3,0.0,1.0
4,0.8,2.0
5,-0.8,0.0
6,0.0,2.0
7,0.8,1.0
8,-1.6,1.0
9,1.2,-2.0
10,-1.0,3.0
11,0.8,-3.0
12,0.0,-6.0
13,-0.6,-3.0
14,0.0,2.0
15,0.4,-5.0
16,0.0,3.0
17,0.4,2.0
18,-0.6,-2.0
19,-1.0,0.0
20,0.0,4.0
21,0.0,3.0
22,0.4,2.0
23,0.0,2.0
24,0.0,1.0
25,0.0,-3.0
26,0.0,-6.0
27,0.0,1.0
28,-0.8,-2.0
29,1.4,-5.0
30,-0.6,3.0
31,0.0,2.0
32,-0.6,-2.0
33,0.6,9.0
34,-2.4,-7.0
35,0.0,1.0
36,1.8,-1.0
37,0.0,-5.0
38,0.2,3.0
39,-1.6,2.0
40,0.0,-2.0
41,0.2,-1.0
42,0.8,-1.0
43,-1.0,-2.0
44,0.8,1.0
45,0.0,12.0
46,0.8,-3.0
47,0.0,5.0
48,0.0,-2.0
49,-1.0,4.0
50,0.0,1.0
51,-1.0,-5.0
52,0.0,2.0
53,0.0,3.0
54,0.0,-3.0
55,0.0,-4.0
56,1.4,2.0
57,-1.6,-5.0
58,1.4,3.0
59,0.4,2.0
60,-1.0,3.0
61,-1.0,-5.0
62,0.8,2.0
63,0.0,-6.0
64,-0.6,4.0
65,0.0,2.0
66,0.8,-2.0
67,-1.4,4.0
68,0.0,1.0
69,0.0,-3.0
70,0.8,-6.0
71,0.0,1.0
72,-1.0,3.0
73,0.0,2.0
74,0.0,-2.0
75,0.0,3.0
76,0.8,2.0
77,0.0,-3.0
78,-1.0,-6.0
79,0.8,-1.0
80,-2.0,-2.0
81,0.0,2.0
82,0.0,-2.0
83,1.4,-1.0
84,0.0,1.0
85,0.0,10.0
86,0.0,-2.0
87,0.0,-6.0
88,0.0,5.0
89,0.0,-2.0
90,0.0,-3.0
91,0.0,-6.0
92,0.4,-1.0
93,-1.0,9.0
94,0.0,-5.0
95,0.8,3.0
96,0.8,-2.0
97,-2.0,11.0
98,0.0,-4.0
99,0.8,2.0
100,0.4,-2.0
101,-1.6,9.0
102,0.0,1.0
103,1.4,-7.0
104,-0.6,4.0
105,0.0,-5.0
106,-1.0,2.0
107,0.0,-7.0
108,0.8,2.0
109,0.0,3.0
110,0.4,-12.0
111,-0.4,-1.0
112,0.0,8.0
113,-0.6,-7.0
114,0.0,3.0
115,0.8,0.0
116,0.4,0.0
117,-2.6,2.0
118,0.0,2.0
119,0.4,3.0
120,0.0,2.0
121,0.0,3.0
122,0.2,0.0
123,-1.0,2.0
124,0.0,-2.0
125,0.0,-3.0
126,2.2,3.0
127,-1.0,2.0
128,0.8,2.0
129,-2.0,-7.0
130,0.6,3.0
131,-1.4,-1.0
132,0.0,1.0
133,0.0,2.0
134,0.0,-2.0
135,1.8,-3.0
136,-0.6,3.0
137,-1.0,6.0
138,2.2,1.0
139,-1.4,-7.0
140,-1.0,0.0
141,0.0,2.0
142,0.0,-2.0
143,0.0,-3.0
144,1.8,3.0
145,-1.0,9.0
146,-1.0,-10.0
147,0.8,1.0
148,-1.0,0.0
149,0.0,2.0
150,0.0,-2.0
151,0.0,-3.0
152,1.4,3.0
153,-0.6,12.0
154,0.0,-3.0
155,0.0,-5.0
156,-1.0,-4.0
157,0.8,-5.0
158,-1.0,7.0
159,0.8,-2.0
160,-1.0,-5.0
161,0.0,-3.0
162,0.0,-4.0
163,0.8,-3.0
164,-1.0,-1.0
165,1.2,3.0
166,0.0,3.0
167,-1.0,-4.0
168,0.0,4.0
169,0.8,3.0
170,-1.4,5.0
171,0.0,-2.0
172,0.0,1.0
173,0.8,-5.0
174,-1.0,3.0
175,0.0,-6.0
176,0.8,0.0
177,0.0,-4.0
178,0.0,-2.0
179,0.0,-2.0
180,0.0,1.0
181,0.4,5.0
182,-0.6,-2.0
183,-1.0,7.0
184,0.8,-4.0
185,0.0,-3.0
186,1.8,5.0
187,-2.0,-1.0
188,-1.0,3.0
189,0.0,3.0
190,0.0,2.0
191,0.8,3.0
192,0.0,-3.0
193,-1.0,-9.0
194,-1.0,3.0
195,0.0,4.0
196,0.0,2.0
197,1.8,3.0
198,0.8,-3.0
199,-2.8,-6.0
200,0.0,1.0
201,0.0,3.0
202,0.0,2.0
203,3.0,3.0
204,-3.4,2.0
205,0.0,-2.0
206,0.0,-1.0
207,0.8,-1.0
208,-1.0,-3.0
209,0.8,-3.0
210,0.0,-3.0
211,0.0,-1.0
212,0.0,-2.0
213,0.4,-1.0
214,0.0,2.0
215,0.0,1.0
216,0.0,9.0
217,0.0,-5.0
218,0.0,3.0
219,0.4,-3.0
220,0.0,1.0
221,0.0,-8.0
222,-1.0,3.0
223,0.0,4.0
224,3.0,-8.0
225,-2.2,6.0
226,0.0,-3.0
227,-1.0,-4.0
228,0.0,2.0
229,0.8,3.0
230,0.0,2.0
231,0.4,2.0
232,-1.0,3.0
233,1.0,2.0
234,-1.6,-2.0
235,0.0,2.0
236,0.0,1.0
237,0.8,1.0
238,0.0,-7.0
239,0.0,5.0
240,0.0,2.0
241,0.4,1.0
242,0.0,-6.0
243,-0.6,3.0
244,0.4,-6.0
245,-1.6,-6.0
246,0.8,5.0
247,2.8,-2.0
248,0.0,0.0
