,note length,pitch
0,0.0,0.0
1,0.0,-2.0
2,0.0,2.0
3,0.4,-5.0
4,-1.6,3.0
5,0.8,0.0
6,0.2,-1.0
7,0.6,1.0
8,-2.0,-1.0
9,0.0,-2.0
10,2.2,-2.0
11,-1.4,2.0
12,0.0,0.0
13,0.0,-2.0
14,0.0,2.0
15,0.0,-4.0
16,0.0,0.0
17,0.0,-1.0
18,0.4,1.0
19,-1.6,-1.0
20,0.0,-2.0
21,1.8,-2.0
22,-0.6,2.0
23,-1.6,0.0
24,1.4,4.0
25,-0.6,-4.0
26,0.0,0.0
27,0.0,2.0
28,0.8,2.0
29,-1.0,-4.0
30,0.0,-2.0
31,0.8,2.0
32,-2.0,0.0
33,0.0,4.0
34,1.8,-4.0
35,-1.0,-2.0
36,0.0,2.0
37,0.0,4.0
38,0.0,-4.0
39,0.0,-2.0
40,0.0,2.0
41,0.0,4.0
42,0.0,3.0
43,0.0,3.0
44,2.2,2.0
45,-2.4,-4.0
46,-1.0,-6.0
47,1.4,3.0
48,-0.6,2.0
49,0.0,-2.0
50,0.0,2.0
51,0.0,1.0
52,0.0,2.0
53,-0.6,2.0
54,0.0,-1.0
55,0.0,4.0
56,0.4,-1.0
57,0.0,-4.0
58,0.8,2.0
59,-1.0,-4.0
60,-1.0,1.0
61,1.4,-2.0
62,-0.6,-2.0
63,0.0,5.0
64,0.0,-1.0
65,0.0,-1.0
66,0.0,-1.0
67,0.0,-2.0
68,0.0,2.0
69,0.8,-3.0
70,-1.0,3.0
71,0.0,-7.0
72,0.0,-1.0
73,0.0,1.0
74,-1.0,-2.0
75,0.8,2.0
76,0.4,2.0
77,-1.6,2.0
78,2.8,3.0
79,-2.0,-3.0
80,0.4,5.0
81,-1.0,-5.0
82,0.4,6.0
83,0.0,-1.0
84,-1.0,3.0
85,0.0,1.0
86,3.8,1.0
87,-2.0,0.0
88,-2.0,-2.0
89,0.0,3.0
90,0.8,2.0
91,0.0,-3.0
92,0.8,-2.0
93,-1.0,-2.0
94,0.8,9.0
95,-1.0,-2.0
96,-1.0,-2.0
97,0.8,-3.0
98,0.0,-2.0
99,0.4,-3.0
100,-0.6,-4.0
101,-1.0,3.0
102,0.8,-1.0
103,0.0,0.0
104,-1.0,-1.0
105,1.6,-1.0
106,0.2,0.0
107,0.6,0.0
108,-2.8,0.0
109,0.8,-3.0
110,-1.0,3.0
111,0.4,2.0
112,0.0,-2.0
113,1.4,-3.0
114,-2.0,7.0
115,0.0,1.0
116,0.8,1.0
117,0.8,3.0
118,0.4,0.0
119,-0.6,0.0
120,0.4,0.0
121,-2.6,-5.0
122,1.4,2.0
123,-0.6,3.0
124,-0.6,-4.0
125,0.0,1.0
126,1.2,3.0
127,1.4,0.0
128,-2.4,2.0
129,0.0,-2.0
130,0.0,2.0
131,-1.4,-7.0
132,0.0,1.0
133,0.8,1.0
134,0.8,3.0
135,1.4,0.0
136,-3.0,-3.0
137,0.0,3.0
138,1.4,2.0
139,-0.6,0.0
140,-1.4,-8.0
141,0.0,1.0
142,0.0,1.0
143,0.0,1.0
144,1.8,3.0
145,1.8,0.0
146,-2.8,0.0
147,-1.0,-2.0
148,0.0,-3.0
149,0.0,-1.0
150,1.2,-3.0
151,0.0,-1.0
152,0.0,-4.0
153,0.0,2.0
154,0.0,2.0
155,0.0,3.0
156,0.0,3.0
157,0.0,2.0
158,0.0,2.0
159,0.0,2.0
160,-1.0,3.0
161,0.0,-2.0
162,0.0,-1.0
163,0.0,-2.0
164,0.8,2.0
165,0.0,-4.0
166,0.8,2.0
167,-1.0,-4.0
168,0.0,-3.0
169,0.0,3.0
170,-1.0,-1.0
171,0.0,-2.0
172,0.8,-2.0
173,0.0,-2.0
174,0.0,-1.0
175,0.0,-2.0
176,0.4,-3.0
177,-1.6,-2.0
178,2.8,2.0
179,0.0,5.0
180,-0.6,-3.0
181,-0.6,17.0
182,-2.0,1.0
183,0.0,1.0
184,0.8,1.0
185,1.4,-3.0
186,-2.6,-1.0
187,2.2,1.0
188,-1.4,3.0
189,0.0,0.0
190,0.0,-3.0
191,0.0,0.0
192,0.0,-2.0
193,-1.0,2.0
194,0.0,1.0
195,0.0,1.0
196,3.6,3.0
197,-2.8,-4.0
198,-2.0,-2.0
199,0.0,-2.0
200,0.0,-2.0
201,0.0,-3.0
202,1.8,-3.0
203,-1.0,-2.0
204,4.8,1.0
205,-4.0,-2.0
206,0.0,2.0
207,0.0,10.0
208,0.0,0.0
209,0.0,-2.0
210,0.0,2.0
211,-1.0,-5.0
212,1.4,5.0
213,-0.6,0.0
214,0.0,-2.0
215,0.0,2.0
216,0.0,0.0
217,0.0,0.0
218,0.0,-2.0
219,0.8,2.0
220,-3.0,5.0
221,0.0,1.0
222,0.0,1.0
223,0.0,1.0
224,5.2,1.0
225,-2.8,-9.0
226,-0.6,-1.0
227,0.8,-1.0
228,-1.0,0.0
229,0.4,10.0
230,-0.6,-10.0
231,0.8,-1.0
232,-1.0,9.0
233,0.0,-1.0
234,0.0,-12.0
235,0.0,10.0
236,0.0,-1.0
237,0.0,-2.0
238,0.8,-2.0
239,0.4,-1.0
240,-1.6,0.0
241,0.4,-2.0
242,1.8,0.0
243,-3.6,2.0
244,2.8,-5.0
245,-2.0,3.0
246,-1.0,-5.0
247,0.8,5.0
248,0.4,-7.0
249,-0.6,-2.0
250,0.0,-1.0
251,0.0,3.0
252,0.0,2.0
253,0.0,1.0
254,0.0,9.0
255,0.0,-5.0
256,0.0,2.0
257,0.0,1.0
258,0.0,2.0
259,0.0,2.0
260,1.4,3.0
261,-1.6,-3.0
262,0.0,-2.0
263,0.0,-2.0
264,0.0,2.0
265,0.0,-1.0
266,0.0,-2.0
267,0.8,-4.0
268,-1.0,2.0
269,0.0,-2.0
270,0.6,2.0
271,-1.4,5.0
272,0.0,2.0
273,-0.6,1.0
274,2.2,1.0
275,-1.4,3.0
276,1.4,-7.0
277,-2.6,-1.0
278,0.0,1.0
279,0.8,-2.0
280,0.8,2.0
281,-2.0,-1.0
282,0.0,1.0
283,0.8,-3.0
284,0.8,3.0
285,-2.0,-1.0
286,0.0,1.0
287,0.8,-5.0
288,0.4,5.0
289,-2.0,-2.0
290,0.0,2.0
291,2.0,-8.0
292,-1.0,8.0
293,-1.0,7.0
294,0.0,1.0
295,2.2,1.0
296,0.6,-2.0
297,-3.0,1.0
298,2.2,1.0
299,-1.4,-2.0
300,0.0,1.0
301,0.0,-1.0
302,0.0,1.0
303,0.0,-1.0
304,0.0,-5.0
305,0.0,-2.0
306,1.8,2.0
307,-1.6,-2.0
308,-0.6,2.0
309,0.0,-2.0
310,-1.0,2.0
311,0.8,-2.0
312,-0.2,2.0
313,-1.2,-2.0
314,0.0,3.0
315,0.0,-1.0
316,1.4,-2.0
317,-0.8,2.0
