,note length,pitch
0,0.0,2.0
1,0.0,3.0
2,0.0,2.0
3,0.8,3.0
4,-1.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,-2.0
8,0.4,-3.0
9,0.0,-2.0
10,0.0,-5.0
11,0.0,3.0
12,0.0,1.0
13,0.8,3.0
14,0.0,0.0
15,-1.0,-1.0
16,0.0,-1.0
17,0.0,-1.0
18,0.8,-1.0
19,0.0,-10.0
20,0.8,9.0
21,-2.0,0.0
22,0.0,-2.0
23,0.0,-1.0
24,0.0,1.0
25,0.4,4.0
26,0.8,3.0
27,0.4,-2.0
28,-1.0,-2.0
29,-1.0,8.0
30,0.0,-2.0
31,-0.4,-2.0
32,0.0,-1.0
33,0.0,-2.0
34,0.0,-2.0
35,0.8,-2.0
36,-1.2,-2.0
37,0.0,0.0
38,0.0,4.0
39,0.0,3.0
40,0.0,3.0
41,0.8,1.0
42,-1.0,-7.0
43,0.0,6.0
44,0.0,1.0
45,1.0,-1.0
46,-1.0,4.0
47,0.8,-14.0
48,0.4,9.0
49,-0.2,-5.0
50,0.0,3.0
51,0.0,-2.0
52,-2.2,0.0
53,0.0,-1.0
54,1.4,1.0
55,-0.8,-3.0
56,0.0,3.0
57,0.0,-1.0
58,2.2,1.0
59,-1.0,3.0
60,-1.0,-3.0
61,1.8,3.0
62,-2.0,3.0
63,-1.0,-1.0
64,3.0,-1.0
65,-0.2,-3.0
66,-1.0,1.0
67,-1.0,-5.0
68,1.8,4.0
69,-2.0,-5.0
70,0.4,3.0
71,-1.0,-3.0
72,0.0,1.0
73,0.0,4.0
74,0.0,3.0
75,0.2,4.0
76,0.0,-2.0
77,0.0,0.0
78,0.0,-2.0
79,0.0,-1.0
80,0.6,-2.0
81,0.0,-2.0
82,0.8,-1.0
83,-1.4,9.0
84,0.0,-1.0
85,0.0,-5.0
86,0.0,3.0
87,0.0,-2.0
88,0.0,-5.0
89,-1.0,-3.0
90,0.0,5.0
91,1.4,2.0
92,2.0,-2.0
93,-2.6,2.0
94,0.8,1.0
95,-1.0,-5.0
96,0.0,4.0
97,-0.4,-2.0
98,0.0,-2.0
99,0.0,-1.0
100,0.0,3.0
101,0.0,3.0
102,1.2,5.0
103,-1.0,-2.0
104,0.0,-6.0
105,0.0,4.0
106,1.8,1.0
107,-2.0,-7.0
108,0.0,0.0
109,1.8,0.0
110,-2.0,5.0
111,-0.4,-8.0
112,0.0,3.0
113,0.0,4.0
114,0.0,3.0
115,0.0,-5.0
116,0.2,-2.0
117,0.8,2.0
118,0.8,5.0
119,0.0,5.0
120,-2.2,-1.0
121,-1.0,-2.0
122,0.8,-2.0
123,-1.0,-2.0
124,2.2,-1.0
125,-0.4,3.0
126,0.8,-8.0
127,0.0,7.0
128,-2.0,-1.0
129,0.0,-3.0
130,0.0,-3.0
131,0.0,-2.0
132,0.0,-1.0
133,0.0,9.0
134,0.0,-3.0
135,0.0,1.0
136,0.0,1.0
137,-1.0,-2.0
138,1.4,-2.0
139,-1.6,-1.0
140,1.4,3.0
141,0.4,-2.0
142,-1.0,14.0
143,0.0,-1.0
144,0.0,-1.0
145,0.0,-1.0
146,0.8,-1.0
147,-1.0,-8.0
148,0.0,5.0
149,0.0,2.0
150,0.8,-7.0
151,0.0,6.0
152,-1.0,4.0
153,1.8,-14.0
154,-2.0,16.0
155,0.0,1.0
156,0.8,-1.0
157,-1.0,-2.0
158,0.4,2.0
159,0.4,1.0
160,-2.0,-1.0
161,1.4,1.0
162,0.4,-1.0
163,-1.0,-2.0
164,0.0,-2.0
165,0.0,-3.0
166,0.0,-2.0
167,0.0,-5.0
168,0.4,2.0
169,0.0,2.0
170,0.0,3.0
171,1.0,-5.0
172,-2.6,-2.0
173,1.0,2.0
174,1.4,2.0
175,-0.6,-9.0
176,0.0,12.0
177,0.0,-2.0
178,-0.6,-1.0
179,0.0,-2.0
180,0.0,-1.0
181,-0.8,-6.0
182,0.0,3.0
183,0.8,-1.0
184,-1.0,-2.0
185,1.2,-2.0
186,-2.0,3.0
187,0.8,1.0
188,-1.0,3.0
189,0.8,2.0
190,0.0,-2.0
191,-0.6,2.0
192,0.8,1.0
193,0.0,0.0
194,1.4,-1.0
195,-1.0,5.0
196,-1.0,-3.0
197,0.0,1.0
198,0.0,2.0
199,0.0,5.0
200,0.0,-1.0
201,0.0,-2.0
202,0.0,-2.0
203,-1.0,-1.0
204,0.8,-1.0
205,-1.0,-7.0
206,0.0,2.0
207,0.8,4.0
208,0.0,-1.0
209,0.0,-4.0
210,-1.0,-1.0
211,0.0,2.0
212,2.8,2.0
213,-2.0,-3.0
214,0.4,3.0
215,0.8,2.0
216,-0.6,1.0
217,-1.0,-5.0
218,0.0,3.0
219,0.8,1.0
220,-1.2,3.0
221,0.0,0.0
