,note length,pitch
0,0.0,-2.0
1,0.4,-2.0
2,-0.6,-1.0
3,0.0,-1.0
4,0.0,2.0
5,-0.6,2.0
6,0.0,3.0
7,0.0,4.0
8,0.0,3.0
9,0.0,-4.0
10,0.0,-4.0
11,0.4,-1.0
12,2.2,2.0
13,-2.4,-1.0
14,1.2,2.0
15,-1.4,-1.0
16,0.4,1.0
17,0.4,2.0
18,-0.6,2.0
19,1.2,1.0
20,-1.4,0.0
21,0.0,2.0
22,0.4,2.0
23,2.2,1.0
24,-1.8,-3.0
25,-1.8,-1.0
26,0.4,-10.0
27,-0.6,2.0
28,0.2,3.0
29,0.0,1.0
30,0.0,2.0
31,0.2,2.0
32,-0.8,2.0
33,0.4,2.0
34,0.0,1.0
35,2.8,2.0
36,-3.6,-7.0
37,0.0,-6.0
38,0.0,2.0
39,0.0,2.0
40,0.4,3.0
41,-0.6,2.0
42,0.0,1.0
43,0.0,2.0
44,0.4,2.0
45,1.6,2.0
46,-2.4,-2.0
47,0.0,-2.0
48,2.8,-3.0
49,-3.0,-2.0
50,0.0,-3.0
51,0.4,-4.0
52,-0.6,-3.0
53,0.0,5.0
54,0.4,3.0
55,0.8,-1.0
56,-1.6,-1.0
57,0.0,2.0
58,-1.0,-3.0
59,0.8,-4.0
60,0.0,-3.0
61,0.0,9.0
62,0.0,-2.0
63,0.0,-2.0
64,0.0,-2.0
65,0.0,-1.0
66,0.4,-2.0
67,-0.6,-2.0
68,-1.0,-2.0
69,2.8,-2.0
70,0.0,-4.0
71,-2.0,15.0
72,0.0,-1.0
73,0.0,-1.0
74,0.0,-3.0
75,0.0,-1.0
76,0.0,-1.0
77,0.0,-1.0
78,0.0,3.0
79,0.0,3.0
80,0.0,5.0
81,0.0,1.0
82,0.0,-2.0
83,0.0,-2.0
84,0.0,-2.0
85,0.0,-1.0
86,0.0,-2.0
87,-0.6,-1.0
88,0.0,-1.0
89,0.8,-1.0
90,0.0,2.0
91,0.4,-1.0
92,0.0,-3.0
93,0.0,3.0
94,0.0,-3.0
95,-0.6,3.0
96,0.0,-3.0
97,1.4,4.0
98,-2.0,-4.0
99,0.4,6.0
100,-1.0,-6.0
101,0.4,7.0
102,0.0,-4.0
103,0.4,6.0
104,-1.0,-4.0
105,0.8,5.0
106,-1.0,-3.0
107,0.4,5.0
108,0.0,-3.0
109,0.0,4.0
110,0.0,-3.0
111,0.0,5.0
112,0.0,-3.0
113,0.0,4.0
114,0.0,-3.0
115,0.0,5.0
116,0.0,-3.0
117,0.0,4.0
118,0.0,3.0
119,0.0,2.0
120,0.0,-2.0
121,0.0,-3.0
122,0.0,-2.0
123,0.0,-2.0
124,0.0,-2.0
125,0.0,-3.0
126,0.4,-1.0
127,-1.0,-2.0
128,0.4,-2.0
129,0.0,-4.0
130,0.0,-1.0
131,0.0,-2.0
132,0.0,-1.0
133,0.0,12.0
134,0.4,-1.0
135,-1.6,4.0
136,0.8,4.0
137,-1.0,4.0
138,0.8,3.0
139,0.0,3.0
140,1.8,2.0
141,-1.4,-2.0
142,-0.6,-2.0
143,0.0,-1.0
144,0.0,-2.0
145,0.0,-1.0
146,0.0,-2.0
147,0.0,-2.0
148,0.0,-1.0
149,0.0,-1.0
150,0.0,-2.0
151,0.0,-4.0
152,0.0,-3.0
153,0.0,-1.0
154,0.0,-1.0
155,0.0,-1.0
156,0.0,2.0
157,0.0,-3.0
158,0.0,3.0
159,0.0,5.0
160,0.0,4.0
161,0.4,1.0
162,-1.0,-3.0
163,0.4,-4.0
164,0.0,-3.0
165,0.0,5.0
166,0.0,-3.0
167,0.0,1.0
168,0.0,2.0
169,0.0,1.0
170,0.0,-3.0
171,0.0,1.0
172,0.0,2.0
173,-1.0,1.0
174,0.8,2.0
175,0.4,1.0
176,-0.6,-3.0
177,0.4,4.0
178,0.0,1.0
179,-0.6,1.0
180,0.8,2.0
181,-0.6,-4.0
182,-0.6,-3.0
183,0.4,-3.0
184,0.0,3.0
185,0.8,3.0
186,-1.6,5.0
187,0.0,4.0
188,0.0,-2.0
189,0.0,-2.0
190,0.0,-1.0
191,0.0,-2.0
192,0.0,-1.0
193,0.0,-1.0
194,0.0,-1.0
195,0.0,2.0
196,0.0,1.0
197,0.0,-2.0
198,0.0,1.0
199,0.0,-1.0
200,0.0,-1.0
201,0.0,4.0
202,0.0,-3.0
203,0.0,-4.0
204,0.0,-4.0
205,0.0,-4.0
206,1.4,5.0
207,-1.6,-2.0
208,0.0,-3.0
209,0.0,-4.0
210,0.4,17.0
211,-0.6,3.0
212,2.8,2.0
213,-2.0,0.0
214,1.2,0.0
215,-1.4,-2.0
216,-1.0,2.0
217,0.0,2.0
218,2.2,-2.0
219,-2.4,-2.0
220,0.0,-3.0
221,0.0,-2.0
222,0.0,-3.0
223,0.0,5.0
224,0.0,2.0
225,0.0,3.0
226,0.0,2.0
227,0.0,3.0
228,0.0,-1.0
229,0.0,-2.0
230,0.0,-2.0
231,0.0,-2.0
232,0.0,0.0
233,0.0,-1.0
234,0.0,-1.0
235,0.0,-4.0
236,0.0,-3.0
237,0.0,-3.0
238,0.0,2.0
239,0.0,-3.0
240,0.0,2.0
241,0.0,-3.0
242,0.0,2.0
243,0.0,3.0
244,0.0,3.0
245,0.0,4.0
246,0.0,-5.0
247,0.0,1.0
248,0.0,4.0
249,0.0,3.0
250,0.0,4.0
251,0.0,-1.0
252,0.0,-1.0
253,0.0,-3.0
254,0.0,1.0
255,0.0,-1.0
256,-0.6,-1.0
257,0.0,-1.0
258,0.0,1.0
259,1.4,-1.0
260,-1.0,-1.0
261,0.0,-1.0
262,0.0,-1.0
263,0.0,-1.0
264,0.0,-1.0
265,0.0,4.0
266,0.0,-5.0
267,0.0,1.0
268,0.0,-3.0
269,0.0,-3.0
270,0.0,9.0
271,0.0,-2.0
272,0.0,-3.0
273,0.0,-1.0
274,0.0,-1.0
275,0.0,-3.0
276,0.0,-1.0
277,0.0,-1.0
278,0.0,-1.0
279,0.0,-4.0
280,0.0,18.0
281,0.0,-1.0
282,0.0,-1.0
283,0.0,-3.0
284,0.4,-3.0
285,-1.0,-3.0
286,0.4,5.0
287,0.0,-5.0
288,0.0,2.0
289,0.0,3.0
290,0.0,2.0
291,0.0,2.0
292,0.0,1.0
293,0.0,2.0
294,0.0,2.0
295,0.0,1.0
296,0.4,2.0
297,-1.0,-3.0
298,0.4,0.0
299,0.0,1.0
300,0.0,-1.0
301,1.4,-2.0
302,-1.0,-1.0
303,-0.6,-1.0
304,0.0,-1.0
305,0.0,-3.0
306,-0.6,-3.0
307,0.0,-4.0
308,0.8,9.0
309,-0.4,-2.0
310,0.2,-1.0
311,-1.0,-1.0
312,0.8,-1.0
313,-0.4,2.0
314,0.2,2.0
315,0.0,2.0
316,-0.6,2.0
317,0.0,1.0
318,0.0,2.0
319,0.0,3.0
320,0.0,2.0
321,0.4,2.0
322,-0.6,1.0
323,0.4,-1.0
324,-0.6,-2.0
325,0.0,-2.0
326,0.0,-2.0
327,-1.0,-1.0
328,0.8,-2.0
329,-1.0,-1.0
330,1.8,-1.0
331,-1.0,-1.0
332,0.0,2.0
333,0.0,2.0
334,0.0,2.0
335,0.0,1.0
336,0.0,-4.0
337,0.0,2.0
338,0.0,2.0
339,0.0,1.0
340,-1.0,-1.0
341,1.4,3.0
342,-1.6,-3.0
343,1.4,1.0
344,-0.6,-2.0
345,0.0,-1.0
346,0.0,-1.0
347,0.0,-1.0
348,0.0,5.0
349,0.8,-5.0
350,-2.0,-1.0
351,0.8,-1.0
352,0.0,-1.0
353,0.0,4.0
354,0.2,-5.0
355,-1.0,-2.0
356,0.8,-3.0
357,-1.0,-4.0
358,0.8,2.0
359,-0.4,-4.0
360,-1.0,-4.0
361,0.8,4.0
362,0.8,-7.0
363,-0.6,0.0
364,-0.6,7.0
365,0.0,5.0
366,0.8,-4.0
367,-1.0,4.0
368,0.0,3.0
369,0.8,-5.0
370,-1.0,4.0
371,0.0,3.0
372,0.4,-5.0
373,-0.4,3.0
374,0.0,4.0
375,-0.6,-5.0
376,0.8,3.0
377,-1.0,5.0
378,0.8,-7.0
379,-1.0,5.0
380,0.0,4.0
381,0.0,-7.0
382,0.0,5.0
383,0.0,4.0
384,0.0,-4.0
385,0.0,-2.0
386,0.0,4.0
387,0.0,3.0
388,0.0,-3.0
389,0.0,2.0
390,0.0,-2.0
391,0.0,0.0
392,0.0,-1.0
393,0.0,-1.0
394,0.0,-4.0
395,0.0,-4.0
396,0.0,-4.0
397,0.0,4.0
398,0.0,-4.0
399,0.8,2.0
400,-2.4,11.0
401,0.0,2.0
402,0.0,3.0
403,1.8,3.0
404,-1.2,-2.0
405,0.0,-2.0
406,0.4,-1.0
407,0.0,-2.0
408,0.0,-1.0
409,0.0,-1.0
410,0.0,-1.0
411,0.0,-1.0
412,0.0,-1.0
413,0.0,-1.0
414,0.0,-1.0
415,0.0,1.0
416,0.0,3.0
417,0.0,-1.0
418,0.0,-1.0
419,-1.0,10.0
420,1.4,3.0
421,-0.6,-1.0
422,0.4,-1.0
423,0.0,-2.0
424,-1.0,-2.0
425,0.8,-1.0
426,-0.4,-2.0
427,-1.0,-2.0
428,0.8,-1.0
429,0.0,-1.0
430,0.0,-3.0
431,0.6,7.0
432,-0.4,-1.0
433,-1.6,-1.0
434,0.8,-1.0
435,0.0,-1.0
436,0.0,3.0
437,0.4,-4.0
438,-0.6,-2.0
439,0.0,-3.0
440,0.0,-3.0
441,0.4,4.0
442,0.6,1.0
443,-1.4,1.0
444,0.0,1.0
445,0.0,5.0
446,0.0,-1.0
447,0.0,0.0
448,0.0,-2.0
449,-1.0,-1.0
450,0.8,-2.0
451,0.0,-1.0
452,0.0,9.0
453,0.0,-2.0
454,0.0,-6.0
455,0.0,2.0
456,0.0,3.0
457,0.0,-3.0
458,0.8,1.0
459,-1.0,7.0
460,0.4,2.0
461,-0.6,1.0
462,0.0,-3.0
463,0.0,-3.0
464,0.0,4.0
465,0.0,1.0
466,0.4,-3.0
467,-0.6,1.0
468,0.0,1.0
469,0.4,-3.0
470,-0.6,-4.0
471,0.0,5.0
472,0.0,1.0
473,0.0,-3.0
474,0.0,-3.0
475,0.0,4.0
476,0.0,1.0
477,0.4,-4.0
478,-1.6,-3.0
479,0.8,4.0
480,0.0,1.0
481,0.4,-4.0
482,-1.6,-2.0
483,0.0,4.0
484,0.8,-1.0
485,0.4,-1.0
486,-0.6,2.0
487,0.0,-5.0
488,0.0,3.0
489,0.0,-1.0
490,0.0,-2.0
491,0.0,-2.0
492,1.4,-5.0
493,-1.6,16.0
494,0.0,-2.0
495,0.0,-2.0
496,0.0,-1.0
497,0.0,-1.0
498,0.0,2.0
499,0.0,2.0
