,note length,pitch
0,0.8,5.0
1,0.0,1.0
2,-1.0,1.0
3,0.8,-2.0
4,0.0,-1.0
5,-1.0,1.0
6,0.0,2.0
7,0.0,3.0
8,0.0,-3.0
9,0.0,-2.0
10,0.4,-3.0
11,0.6,3.0
12,-1.0,1.0
13,0.6,1.0
14,-0.6,-2.0
15,0.4,-1.0
16,-1.0,1.0
17,0.4,2.0
18,-0.2,3.0
19,-0.4,-3.0
20,0.8,-2.0
21,-1.0,7.0
22,2.8,2.0
23,-3.0,-9.0
24,0.8,0.0
25,0.0,2.0
26,0.0,-2.0
27,-2.0,-3.0
28,3.4,2.0
29,-3.6,3.0
30,0.8,1.0
31,0.0,4.0
32,0.0,-3.0
33,0.0,-2.0
34,1.4,-2.0
35,-1.6,-3.0
36,0.8,3.0
37,0.0,1.0
38,-0.6,1.0
39,0.0,-2.0
40,0.4,-1.0
41,-1.0,1.0
42,0.4,2.0
43,-1.0,3.0
44,0.4,-3.0
45,0.0,-1.0
46,0.8,-3.0
47,-0.6,7.0
48,0.0,0.0
49,0.4,0.0
50,-1.0,-4.0
51,0.0,4.0
52,0.0,-1.0
53,2.2,-2.0
54,-1.4,3.0
55,-1.0,-3.0
56,0.8,3.0
57,-1.0,0.0
58,0.0,-4.0
59,0.0,-1.0
60,1.2,-3.0
61,-2.4,0.0
62,0.8,1.0
63,0.0,1.0
64,0.0,1.0
65,0.8,0.0
66,0.8,-12.0
67,-2.0,8.0
68,0.0,1.0
69,0.0,0.0
70,0.0,1.0
71,0.0,0.0
72,-1.0,1.0
73,0.8,0.0
74,0.4,1.0
75,0.4,-3.0
76,-1.0,-2.0
77,0.8,-3.0
78,-1.2,-4.0
79,0.0,0.0
